Age,Gender,Education,Mental_illbeing_cause_1,Mental_illbeing_cause_2,Mental_illbeing_mechanism_1,Mental_illbeing_mechanism_2,Favorite_modern_feature_1,Favorite_modern_feature_2,Favorite_modern_feature_3,Mothers_specific,Fathers_specific,children_specific
19,Female,14,Stress,Isolation,Stressful work/school life,Social media use,Online shopping,Access to information,Climate change,Financial burden,Work pressure,Bullying
20,Male,16,Social pressure,Trauma,Fear of failure,Traumatic memories,Streaming services,Online gaming,Virtual reality,Pregnancy,Time management,Screen time
22,Female,17,Insecurity,Financial instability,Negative self-image,Unemployment,Social media platforms,Smart home technology,Streaming services,Postpartum,Financial stress,Online harassment
18,Male,12,Pressure to succeed,Social isolation,Overworking,Lack of social interaction,Online learning,Online gaming,Social media platforms,Lack of social suppor,Time management,Academic pressure
21,Female,15,Trauma,Lack of purpose,Traumatic memories,Lack of direction,Access to information,Online shopping,Smart home technology,Postpartum,"Financial stress	",Screen time
20,Male,14,Social media use,Overthinking,Fear of missing outthinking,Self-doubt,Online shopping,Online gaming,"	Social media platforms","Work-life balance	",Work pressure,Parental divorce
50,Female,18,Trauma,Social isolation,Overworking,Lack of social interaction,Smart home technology,Access to information,Streaming services,Postpartum,Financial stress,Screen time
19,Female,13,Pressure to succeed,Social pressure,Traumatic memories,Fear of judgment,Online shopping,Virtual reality,Access to information,"Pregnancy	","Time management	",Friend Problems
21,Male,16,Financial stress,Social isolation,"	Financial instability","	Lack of social interaction",Online education,Smart home technology,Online gaming,Postpartum,Work pressure,"	Screen time"
45,Male,17,Anxiety,Depression,"	Family problems","	Social isolation",Video streaming services,E-commerce,Video conferencing,"	Overwhelming responsibilities ",Job insecurity ,Lack of physical activity
