 Answer to Q1,Answer to Q2, Answer to Q3,Answer to Q4,Answer to Q5,Respondent Age,Respondent  Gender, RespondentOccupation ,,
5,9,4,difference-removing feminism,No,21,Female,Student,,
3,4,6,difference-honoring feminism,No,20,Male,Student,,
3,7,6, difference-removing feminism,No,47,Male,Banker,,
5,4,8,difference-denying feminism,No,19,Female,Student,,
2,7,10,difference-removing feminism,No,20,Female,Student,,
7,8,8,difference-removing feminism,No,18,Female,Student,,
2,6,9,difference-honoring feminism,No,17,Male,Student,,
6,5,9,difference-removing feminism,No,21,Male,Student,,
5,8,9,difference-honoring feminism ,Yes,44,Female,Life-nurturer,,
4,8,10,difference-removing feminism,No,22,Female,Software Engineer,,
,,,,,,,,,
